State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Alabama,2021.0,207.42857142857142,172.78571428571428,34.142857142857146,0.42857142857142855,0.0,0.07142857142857142,0.0,97.64285714285714,37.785714285714285
Alaska,2021.0,197.2,173.8,19.0,3.0,1.4,0.0,0.0,126.0,24.0
Arizona,2021.0,271.6923076923077,168.6153846153846,87.53846153846153,9.384615384615385,3.076923076923077,3.0,0.07692307692307693,152.92307692307693,47.46153846153846
Arkansas,2021.0,186.27272727272728,152.1818181818182,33.45454545454545,0.6363636363636364,0.0,0.0,0.0,87.63636363636364,36.45454545454545
California,2021.0,226.09803921568627,144.11764705882354,67.6470588235294,10.313725490196079,3.0588235294117645,0.6274509803921569,0.3333333333333333,212.2941176470588,44.76470588235294
Colorado,2021.0,215.64,142.56,60.0,11.96,1.08,0.0,0.04,136.04,39.2
Connecticut,2021.0,172.0,143.625,25.375,2.625,0.375,0.0,0.0,130.75,39.625
Country Of Mexico,2021.0,304.0,44.0,226.0,22.0,12.0,0.0,0.0,166.0,62.0
Delaware,2021.0,149.33333333333334,122.66666666666667,26.333333333333332,0.3333333333333333,0.0,0.0,0.0,100.33333333333333,39.333333333333336
District Of Columbia,2021.0,274.0,174.0,90.0,9.0,1.0,0.0,0.0,153.0,45.0
Florida,2021.0,183.46153846153845,160.48717948717947,22.846153846153847,0.10256410256410256,0.02564102564102564,0.0,0.0,84.41025641025641,37.743589743589745
Georgia,2021.0,220.28571428571428,179.89285714285714,39.142857142857146,1.2142857142857142,0.03571428571428571,0.0,0.0,100.82142857142857,37.17857142857143
Hawaii,2021.0,204.25,188.0,11.5,4.25,0.5,0.0,0.0,79.25,19.75
Idaho,2021.0,202.89473684210526,171.94736842105263,28.842105263157894,1.631578947368421,0.47368421052631576,0.0,0.0,92.42105263157895,26.63157894736842
Illinois,2021.0,284.7037037037037,220.77777777777777,61.666666666666664,2.074074074074074,0.18518518518518517,0.0,0.0,102.48148148148148,36.03703703703704
Indiana,2021.0,258.6,206.57142857142858,51.114285714285714,0.8857142857142857,0.02857142857142857,0.0,0.0,98.4,36.68571428571428
